id,name_en,name_pt,class,set,actions,range,damage,move,lethal,ap,rules_en,rules_pt,image
shaman_eddie,Shaman Eddie,Eddie Xamã,necromancer,Iron Maiden Pack 2,1+,0,1,1,1,1,"At the start of the Zombies' Phase, remove all other non-Abomination Zombies in his Zone. His Activation gains a number of Actions equal to the number of Zombies removed.","No começo da Fase dos Zumbis, remova todos os outros Zumbis não Abominação em sua Zona. Sua Ativação ganha o número de Ações igual ao número de Zumbis removidos.",https://static.wikia.nocookie.net/zombicide/images/f/f0/ShamanEddie_IM.png
mummy_eddie,Mummy Eddie,Eddie Múmia,abomination,Iron Maiden Pack 2,1,0,2,1,3,5,"When Mummy Eddie spawns, place the Sarcophagus card in his Zone. When eliminated, respawn him in the Sarcophagus Zone. The Sarcophagus can be eliminated with a Melee hit.","Quando Eddie Múmia surgir, coloque a carta de Sarcófago em sua Zona. Quando eliminado, ressurgirá na Zona do Sarcófago. O Sarcófago pode ser eliminado com um acerto Corpo a Corpo.",
fear_eddie,Fear Eddie,Eddie do Medo,abomination,Iron Maiden Pack 3,1,0-1,1,0,3,5,"Fear Eddie cannot Move. When Fear Eddie activates, any Survivor in a Zone without another Survivor suffers 1 Wound.","Eddie do Medo não pode se Mover. Quando Eddie do Medo for ativado, qualquer Sobreviente em uma Zona sem nenhum outro Sobrevivente sofre 1 Ferimento.",https://static.wikia.nocookie.net/zombicide/images/7/7d/FearEddie_IM.png
wicker_eddie,Wicker Eddie,Eddie de Vime,abomination,Iron Maiden Pack 3,1,0,2,1,3,5,Wicker Eddie can only be eliminated by using 2 Dragon Fire on the same Round.,Eddie de Vime só pode ser eliminado utilizando 2 Fogo de Dragão na mesma Rodada.,https://static.wikia.nocookie.net/zombicide/images/a/a9/WickerEddie_IM.png
erinn,Erinn,Erinn,necromancer,Comic Book Extras (Road to Hell),1,0,1,1,1,1,"At the end of the Zombie's Phase, spawn 1 Walker in Erinn's Zone.","No fim da Fase dos Zumbis, adicione 1 Lerdo na Zona de Erinn.",https://static.wikia.nocookie.net/zombicide/images/a/ae/Erinn.png
lord_janas,Lord Janas,Lord Janas,abomination,Comic Book Extras (Road to Hell),1,0,1,1,3,5,"When Lord Janas spawns, move the Survivor with the highest Experience into his Zone.","Quando Lord Janas surge, mova o Sobrevivente com mais experiência para sua Zona.",https://static.wikia.nocookie.net/zombicide/images/4/48/LordJanas.png
marike_abomination,Marike Abomination,Marike Abominação,abomination,Comic Book Extras (Road to Hell),1+,0,1,1,3,5,Gains 1 additional Action for each Survivor in Line of Sight when it Activates.,Quando Ativar ganha 1 Ação adicional para cada Sobrevivente em sua Linha de Visão.,https://static.wikia.nocookie.net/zombicide/images/9/9f/MarikeAbomination.png
walker_wd,Walker WD,Lerdo WD,walker,White Death,1,0,1,1,1,1,Standard Walker.,Lerdo Comum.,https://cdn.svc.asmodee.net/production-zombicide/uploads/image-converter/2026/07/fWalkers-WD-1.webp
runner_wd,Runner WD,Corredor WD,runner,White Death,2,0,1,1,1,1,Standard Runner.,Corredor Comum.,https://cdn.svc.asmodee.net/production-zombicide/uploads/image-converter/2026/07/fRunners-WD.webp
brute_wd,Brute WD,Bruto WD,brute,White Death,1,0,1,1,2,1,Standard Brute.,Bruto Comum.,https://cdn.svc.asmodee.net/production-zombicide/uploads/image-converter/2026/07/fBrute-WD-1-1.webp
defiler_necromancer,Defiler Necromancer,Necromante Profanador,necromancer,White Death,1,0,1,0,1,1,"Put a Defiler Spawn Zone in its entry Zone. The Defiler Spawn Zone spawns Zombies last during the Spawn Step, including the Game Round it was set on the board. Defiler Necromancers place a Corruption token in their entry Zone, if there is none, creating a Corruption Zone. Each time the Defiler Necromancer would move (including during an extra Activation), the Zombie Spawn token it came from is moved instead. It moves 1 Zone towards the Beacon, taking the shortest route, going through walls and climbing Battlement Walkways. If several routes share the same length, players choose. Place a Corruption token in the destination Zone, if there is none, creating a Corruption Zone. Whenever Corruption reaches a Zone with an Objective, the Objective token is discarded (maybe foiling the game as well, according to the Quest’s objectives). If Corruption reaches the Beacon’s Zone, the game is lost. The Defiler Necromancer attacks any Survivor standing in its Zone during its Activation, instead of moving. Whenever a Defiler Necromancer is eliminated remove its Defiler Spawn token.","Coloque uma ficha de Zona de Entrada de Profanadores em sua Zona de entrada. A Zona de Entrada de Profanadores é a última a fazer Zumbis entrarem na Fase de Entrada, incluindo na Rodada em que é colocada em jogo. Necromantes Profanadores colocam uma ficha de Corrupção em sua Zona de entrada, se não houver uma, crie uma Zona de Corrupção. Cada vez que o Necromante Profanador for se mover (incluindo Ativação Extra), a Zona de entrada de Zumbis que surgiu sem move ao invés disso. Ela se move 1 Zona em direção ao Farol, pegando a rota mais curta, atravessando paredes e subindo Passadiças de Ameias. Se múltiplas rotas possuírem a mesma distância os jogadores escolhem. Coloque uma ficha de Corrupção na Zona destino se não houver uma, criando uma Zona de Corrupção. Sempre que a Corrupção alcançar a Zona com um Objetivo, a ficha de Objetivo é descartada (o que pode ocasionar em derrota de acordo com os objetivos da Missão escolhida). Se a Corrupção alcançar a Zona do Farol, os jogadores perdem o jogo. O Necromante Profanador ataca qualquer Sobrevivente em sua Zona em sua Ativação ao invés de se mover. Sempre que o Necromante Profanador for eliminado, remova sua Zona de Entrada de Profanadores.",https://static.wikia.nocookie.net/zombicide/images/3/36/DefilerNecromancer.png
khan_abomination,Khan Abomination,Abominação Khan,abomination,White Death,1,0,1,1,3,5,"Khan Abominations ignore Ramparts and don’t need Stairs to climb on, or leave, Battlement Walkways. Upon elimination, place a random Vault Weapon (if any is available), facedown, in the Khan Abomination’s Zone. Any Survivor in this Zone may spend an Action to take the Vault Weapon. Then, they may reorganize their inventory for free.",Abominação Khan ignora muralhas e não precisa de Escadas para subir ou descer de Passadiças de Ameias. Ao ser eliminado coloque uma Arma de Cripta aleatória virada para baixo na Zona da Abominação Khan. Qualquer Sobrevivente na Zona pode gastar uma Ação para pegar a Arma de Cripta. Ele pode então reorganizar seu inventário gratuitamente.,https://static.wikia.nocookie.net/zombicide/images/f/f0/KhanAbomination.png
brute_ee,Brute EE,Bruto EE,brute,Eternal Empire,1,0,1,1,2,1,+1 Warden Brute,+1 Bruto Vigia,https://cdn.svc.asmodee.net/production-zombicide/uploads/image-converter/2026/07/fBrute-WD-1-1.webp
warden_brutes,Warden Brutes,Brutos Vigia,brute,Eternal Empire,1,0,1,1,2,1,"As long as any Warden Brutes are on the board, Zombies can only be eliminated with: Combat Actions where Chi is spent (either to enhance the Survivor's weapon or to use a Chi Skill). Game effects eliminating all Actors in the target Zone (Cauldron or Dragon Fire, for example).","Enquanto houver qualquer Bruto Vigia no tabuleiro, Zumbis só podem ser eliminados com Ações de Combate que gastarm Chi. (Proveniente de armas ou Habilidades). Efeitos de jogo que eliminam todos os Atores na Zona continuam funcionando normalmente.",https://static.wikia.nocookie.net/zombicide/images/4/43/WardenBrute.png
god_eater_abomination,God-Eater Abomination,Abominação Devoradora de Deuses,abomination,Eternal Empire,1,0,1,1,3,5,"God-Eater Abominations ignore ramparts and don't need Stairs to climb on or leave Battlement Walkways. A God-Eater Abomination attacks as usual, but always moves towards the nearest Zone with a Chi Statue. If several Chi Statues are within the same distance, players choose. If no Chi Statue remains on the board, the God-Eater Abomination behaves like a typical Abomination. A God-Eater Abomination attacks Chi Statues as if they were Survivors, destroying them with a single Attack. Broken Chi Statues can no longer be used. If a God-Eater Abomination attacks in a Zone with both a Chi Statue and Survivors, players choose the target. Upon elimination, place a random Vault Weapon if any are available, facedown, in the God-Eater Abomination's Zone. Any Survivor in this Zone may spend an Action to take the Vault Weapon. They may then reorganize their inventory for free.","Abominação Devoradora de Deuses ignora muralhas e não precisa de Escadas para subir ou descer de Passadiças de Ameias. Abominação Devoradora de Deuses ataca normalmente, mas sempre se move em direção a Zona com uma Estátua Chi mais próxima. Se várias Estátuas Chi estiverem na mesma distancia os jogadores escolhem. Se não houverem Estátuas Chi restantes, Abominação Devoradora de Deuses se comporta como uma Abominação comum. Abominação Devoradora de Deuses ataca Estátuas Chi como se fossem Sobreviventes, destruindo-as com um Ataque. Estátuas de Chi quebradas não podem mais ser utilizadas. Se Abominação Devoradora de Deuses atacar em uma Zona com uma Estátua de Chi e um Sobrevivente os jogadores decidem o alvo. Ao ser eliminado coloque uma Arma de Cripta aleatória virada para baixo na Zona da Abominação Devoradora de Deuses. Qualquer Sobrevivente na Zona pode gastar uma Ação para pegar a Arma de Cripta. Ele pode então reorganizar seu inventário gratuitamente.",https://static.wikia.nocookie.net/zombicide/images/9/9c/GodEater.png
foot_ninjas,Foot Ninjas,Ninjas do Pé,walker,TMNT Timecrash,1,0,1,1,1,1,"Foot Ninjas are Walkers and have the same Targeting Priority Level as Walkers. Foot Ninjas spawn on Objectives. Each time a Foot Ninja Zombie card is drawn, spawn the indicated number of Foot Ninjas on each Objective. If there are no Objectives left, don't spawn any Foot Ninjas. Chi cannot be spent before performing Combat Actions (Magic, Melee, or Ranged) in Zones containing Foot Ninjas or aimed at such Zones.","Ninjas do Pé são Lerdos e possuem o mesmo Nível de Prioridade que Lerdos. Ninjas do Pé surgem em Objetivos. Sempre que uma carta de Ninja do Pé é comprada, coloque a quantidade indicada de Ninjas do Pé em cada Objetivo. Se não houverem Objetivos restantes, Ninjas do Pé não surgem. Chi não pode ser gasto ao realizar Ações de Combate em Zonas contendo Ninjas do Pé ou alvejando-as.",https://static.wikia.nocookie.net/zombicide/images/9/99/FootNinja.png
shredder,Shredder,Destruidor,necromancer,TMNT Timecrash,1,0,1,1,1,1,Each miss rolled while attacking Shredder's Zone inflicts 1 Wound on the Survivor attacking. This rule also applies when making attacks on Zombies other than Shredder and if the attacking Survivor is not in the same Zone.,Cada erro rolado enquanto ataca a Zona do Destruidor inflinge 1 Ferimento no Sobrevivente atacante. Essa regra também se aplica ao atacar outros Zumbis na Zona do Destruidor ou se o Sobrevivente atacante não estiver na mesma Zona.,https://static.wikia.nocookie.net/zombicide/images/b/b6/ShredderNecromancer.png
berserker_walkers,Berserker Walkers,Lerdos Berserker,walker,Berserker Walkers,1,0,1,1,1,1,Can only be eliminated with Melee Actions. They are still affected by game effects eliminating all Zombies in the Zone.,Só pode ser eliminado com Ações Corpo a Corpo. Eles ainda podem ser eliminados por efeitos que eliminam todos os Zumbis na Zona.,https://static.wikia.nocookie.net/zombicide/images/0/04/BerserkerWalkerFantasy.png/
climbers,Climbers,Escaladores,walker,Climbers & Terrorcotta Walkers,1,0,1,1,1,1,"Climbers can cross Ramparts (Wulfsburg), Barriers, and Ledges (Green Horde) when moving. Climbers ignore Ramparts and don't need Stairs to climb on, or leave Battlement Walkways (White Death).","Escaladores podem subir Muralhas, Barreiras e Barrancos quando se movem. Escaladores ignoram Muralhas e não precisam de Escadas para descer ou deixar Passadiças de Ameias.",https://static.wikia.nocookie.net/zombicide/images/c/c2/Climber.png/
terrorcotta_walkers,Terrorcotta Walkers,Lerdos de Terracota,walker,Climbers & Terrorcotta Walkers,1,0,1,1,1,1,"At the start of each Zombies Phase, locate every Zone with 1 to 4 Terrorcotta Walker miniatures. Then, spawn Terrorcotta Walkers in each of these Zones until there are 5 Terrorcotta Walkers there. If there are not enough miniatures, choose the Zones which receive the remaining Terrorcotta Walkers. Then, all Terrorcotta Walkers perform 1 extra Activation. Note: This special Spawn does not trigger the 'Combat reflexes' Skill.","No começo de cada Fase dos Zumbis, localuze todas as Zonas que houver de 1 a 4 Lerdos de Terracota. Então faça surgir Lerdos de Terracota em cada uma desta Zonas até que hajam 5 Lerdos de Terracota. Se não houver mais miniaturas escolha as Zonas que receberam os Lerdos de Terracota restantes. Então todos os Lerdos de Terracota realizam 1 Ativação Extra. Nota: Esta entrada especial não ativa a Habilidade 'Reflexos de Combate'.",https://static.wikia.nocookie.net/zombicide/images/9/92/TerrorcottaWalker.png
deadbolt_walkers,Deadbolt Walkers,Lerdo Virote Mortal,walker,Crossfire Pack,1,0-3,1,1,1,1,"Attack whenever they activate while having a Line Of Sight on a Survivor (or more) at Range 0-3. Then, they perform a standard Zombie Attack on the designated Zone. If several Zones are eligible, they choose their target according to these priorities: The Zone with the most Survivors. The noisiest Zone. If all eligible Zones have the same amount of Survivors and Noise, the players choose. Wounds inflicted by Deadbolt Walkers can’t be prevented by Armor rolls.","Ataca sempre que ativar enquanto houver Lina de Visão de um Sobrevivente (ou mais) no Alcance 0-3. Então realizam um Ataque Comum de Zumbi na Zona alvo. Se houverem várias Zonas, eles escolhem de acordo com estas prioridades: A Zona com mais sobreviventes. A Zona mais barulhenta. Se todas as Zonas elegíveis possuírem a mesma quantidade de Sobreviventes e Barulho os jogadores decidem. Ferimentos causados por Lerdos Virote Mortal não podem ser prevenidos por rolagens de Armadura.",https://static.wikia.nocookie.net/zombicide/images/e/e7/DeadboltWalker.png
bebop,Bebop,Bebop,abomination,TMNT Bebop & Rocksteady,1,0-0/0-1,1,1,2/3,5,"Only requires 2 damage to be eliminated. At the start of the Zombie Phase, if Rocksteady is not already on the board, spawn him on the Spawn Zone closest to Bebop. If Rocksteady is on the board: Requires Damage 3 to eliminate. Gains Reach (Can Attack at Range 1).","Requer apenas Dano 2 para ser eliminado. No início da Fase dos Zumbis, se Rocksteady ainda não estiver no tabuleiro, coloque-o na Zona de Entrada mais próxima de Bebop. Se Rocksteady estiver no tabuleiro: Requer Dano 3 para ser eliminado. Ganha Alcance (Pode atacar no Alcance 1).",https://static.wikia.nocookie.net/zombicide/images/c/c5/BebopFantasy.png
rocksteady,Rocksteady,Rocksteady,abomination,TMNT Bebop & Rocksteady,1,0,1/2,1,2/3,5,"Only requires Damage 2 to eliminate. At the start of the Zombie Phase, if Bebop is not already on the board, spawn him on the Spawn Zone closest to Rocksteady. If Bebop is on the board: Requires Damage 3 to eliminate. Deals Damage 2.","Requer apenas Dano 2 para ser eliminado. No início da Fase dos Zumbis, se Bebop ainda não estiver no tabuleiro, coloque-o na Zona de Entrada mais próxima de Rocksteady. Se Bebop estiver no tabuleiro: Requer Dano 3 para ser eliminado. Causa Dano 2.",https://static.wikia.nocookie.net/zombicide/images/4/42/RocksteadyFantasy.png
vermillion_bird,Vermillion Bird,Pássaro Vermelho,abomination,Divine Beasts,1,0,1,1,1,5,"At the start of the Zombies Phase, other Zombies in the Vermillion Bird's Zone gain 1 Move Action. Instead of performing a normal Action, at the beginning of the Zombies Phase, draw 1 Action card from the Vermillion Bird Action deck and perform the Action listed on the card. If there are no Action cards to draw, remove the Vermillion Bird from the game and at the next End Phase spawn the White Tiger in the closest Spawn Zone. Last in Targeting Priority Order. Cannot be eliminated by Guards Attacks, and can only be eliminated by 2 hits with a Ranged weapon on a single Attack Action. When the Vermillion Bird is eliminated spawn the White Tiger in the closest Spawn Zone (if tied, players choose). The Survivor eliminating it earns the AP, along with the 'Sprint' Skill card. The Skill rewarded is considered acquired at Blue Level and kept until the end of the game. It does not occupy an Inventory slot and cannot be traded, discarded or lost.","No início da Fase dos Zumbis, outros Zumbis na Zona do Pássaro Vermelho ganham 1 Ação de Movimento. Em vez de realizar uma Ação normal, no início da Fase dos Zumbis, compre 1 carta de Ação do baralho de Ação do Pássaro Vermelho e realize a Ação listada na carta. Se não houver cartas de Ação para comprar, remova o Pássaro Vermelho do jogo e na próxima Fase Final coloque o Tigre Branco na Zona de Entrada mais próxima. Último na Ordem de Prioridade de Alvos. Não pode ser eliminado por Ataques de Guardas, e só pode ser eliminado por 2 acertos com uma arma de Longo Alcance em uma única Ação de Ataque. Quando o Pássaro Vermelho for eliminado, coloque o Tigre Branco na Zona de Entrada mais próxima (em caso de empate, os jogadores escolhem). O Sobrevivente que o eliminar ganha PA, junto com a carta de Habilidade 'Corrida'. A Habilidade recompensada é considerada adquirida no Nível Azul e mantida até o final do jogo. Ela não ocupa um espaço de Inventário e não pode ser trocada, descartada ou perdida.",https://static.wikia.nocookie.net/zombicide/images/0/08/VermillionBird_DB.png
white_tiger,White Tiger,Tigre Branco,abomination,Divine Beasts,1,0,2,1,1,5,"At the start of the Zombies Phase, other Zombies within Range 1 of the White Tiger gain 1 free Melee Action. Instead of performing a normal Action, at the beginning of the Zombies Phase, draw 1 Action card from the White Tiger Action deck and perform the Action listed on the card. If there are no Action cards to draw, remove the White Tiger from the game and at the next End Phase spawn the Black Tortoise in the closest Spawn Zone. Last in Targeting Priority Order. Cannot be eliminated by Guards Attacks, and can only be eliminated by 2 hits with a Melee weapon on a single Attack Action. When the White Tiger is eliminated spawn the Black Tortoise in the closest Spawn Zone (if tied, players choose). The Survivor eliminating it earns the AP, along with the 'Bloodlust: Combat' Skill card. The Skill rewarded is considered acquired at Blue Level and kept until the end of the game. It does not occupy an Inventory slot and cannot be traded, discarded or lost.","No início da Fase dos Zumbis, outros Zumbis no Alcance 1 do Tigre Branco ganham 1 Ação Corpo a Corpo grátis. Em vez de realizar uma Ação normal, no início da Fase dos Zumbis, compre 1 carta de Ação do baralho de Ação do Tigre Branco e realize a Ação listada na carta. Se não houver cartas de Ação para comprar, remova o Tigre Branco do jogo e na próxima Fase Final coloque a Tartaruga Negra na Zona de Entrada mais próxima. Último na Ordem de Prioridade de Alvos. Não pode ser eliminado por Ataques de Guardas, e só pode ser eliminado por 2 acertos com uma arma Corpo a Corpo em uma única Ação de Ataque. Quando o Tigre Branco for eliminado, coloque a Tartaruga Negra na Zona de Entrada mais próxima (em caso de empate, os jogadores escolhem). O Sobrevivente que o eliminar ganha os PA, junto com a carta de Habilidade 'Sede de Sangue: Combate'. A Habilidade recompensada é considerada adquirida no Nível Azul e mantida até o final do jogo. Ela não ocupa um espaço no Inventário e não pode ser trocada, descartada ou perdida.",https://static.wikia.nocookie.net/zombicide/images/4/45/WhiteTiger_DB.png
black_tortoise,Black Tortoise,Tartaruga Negra,abomination,Divine Beasts,1,0,1,1,1,5,"Instead of performing a normal Action, at the beginning of the Zombies Phase, draw 1 Action card from the Black Tortoise Action deck and perform the Action listed on the card. If there are no Action cards to draw, remove the Black Tortoise from the game and at the next End Phase spawn the Azure Dragon in the closest Spawn Zone. Last in Targeting Priority Order. Cannot be eliminated by Guards Attacks, and can only be eliminated by 2 hits with a Vault weapon on a single Attack Action. Other non-Abomination Zombies within Range 1 and in Line of Sight of the Black Tortoise need 2 Damage to eliminated. When the Black Tortoise is eliminated spawn the Azure Dragon in the closest Spawn Zone (if tied, players choose). The Survivor eliminating it earns the AP, along with the 'Iron hide' Skill card. The Skill rewarded is considered acquired at Blue Level and kept until the end of the game. It does not occupy an Inventory slot and cannot be traded, discarded or lost.","Em vez de realizar uma Ação normal, no início da Fase dos Zumbis, compre 1 carta de Ação do baralho de Ação da Tartaruga Negra e realize a Ação listada na carta. Se não houver cartas de Ação para comprar, remova a Tartaruga Negra do jogo e na próxima Fase Final coloque o Dragão Azul na Zona de Entrada mais próxima. Último na Ordem de Prioridade de Alvos. Não pode ser eliminada por Ataques de Guardas, e só pode ser eliminada por 2 acertos com uma Arma de Cripta em uma única Ação de Ataque. Outros Zumbis que não sejam Abominações no Alcance 1 e na Linha de Visão da Tartaruga Negra precisam de Dano 2 para serem eliminados. Quando a Tartaruga Negra for eliminada, coloque o Dragão Azul na Zona de Entrada mais próxima (em caso de empate, os jogadores escolhem). O Sobrevivente que a eliminar ganha PA, junto com a carta de Habilidade 'Pele de Ferro'. A Habilidade recompensada é considerada adquirida no Nível Azul e mantida até o final do jogo. Ela não ocupa um espaço no Inventário e não pode ser trocada, descartada ou perdida.",https://static.wikia.nocookie.net/zombicide/images/1/1a/BlackTortoise_DB.png
azure_dragon,Azure Dragon,Dragão Azul,abomination,Divine Beasts,1,0,2,1,3,5,"At the start of the Zombies Phase, all Survivors within Range 2 and in Line of Sight suffer 1 Wound. Instead of performing a normal Action, at the beginning of the Zombies Phase, draw 1 Action card from the Azure Dragon Action deck and perform the Action listed on the card. If there are no Action cards to draw, shuffle the discarded Action cards to create a new deck and draw from that. When the Azure Dragon is eliminated the Survivor eliminating it earns the AP, along with the 'Lucky' Skill card. The Skill rewarded is considered acquired at Blue Level and kept until the end of the game. It does not occupy an Inventory slot and cannot be traded, discarded or lost.","No início da Fase dos Zumbis, todos os Sobreviventes no Alcance 2 e na Linha de Visão sofrem 1 Ferimento. Em vez de realizar uma Ação normal, no início da Fase dos Zumbis, compre 1 carta de Ação do baralho de Ação do Dragão Azul e realize a Ação listada na carta. Se não houver cartas de Ação para comprar, embaralhe as cartas de Ação descartadas para criar um novo baralho e compre dele. Quando o Dragão Azul for eliminado, o Sobrevivente que o eliminar ganha PA, junto com a carta de Habilidade 'Sortudo'. A Habilidade recompensada é considerada adquirida no Nível Azul e mantida até o final do jogo. Ela não ocupa um espaço no Inventário e não pode ser trocada, descartada ou perdida.",https://static.wikia.nocookie.net/zombicide/images/8/80/AzureDragon_DB.png
bake_danuki,Bake-Danuki,Bake-Danuki,walker,Frozen Fortress,?,0,?,?,?,?,"At the beginning of the Players phase roll a die. Until the end of the Round, Bake-Danuki is considered as: 1: an Abomination, 2-3: a Runner, 4-5: a Brute, 6: a Walker.","No início da Fase dos Jogadores, role um dado. Até o final da Rodada, Bake-Danuki é considerado como: 1: uma Abominação, 2-3: um Corredor, 4-5: um Bruto, 6: um Lerdo.",https://static.wikia.nocookie.net/zombicide/images/3/3a/BakeDanuki_FR.png
kappa,Kappa,Kappa,walker,Frozen Fortress,1,0,3,1,1,1,"Last in target priority. At the beginning of the Zombies phase, a Survivor in Kappa's Zone may discard an Apple or Salted Meat card, if they do, Kappa does not activate during this Enemy Phase.","Último na prioridade de alvos. No início da Fase dos Zumbis, um Sobrevivente na Zona do Kappa pode descartar uma carta de Maçãs ou Carne Seca. Se o fizer, o Kappa não é ativado durante esta Fase Inimiga.",
rakshasa,Rakshasa,Rakshasa,walker,Frozen Fortress,1,0,2,1,1,1,"Last in target priority. When Rakshasa attacks, all Survivors in his Zone suffer 2 Wounds.","Último na prioridade de alvos. Quando o Rakshasa ataca, todos os Sobreviventes em sua Zona sofrem 2 Ferimentos.",
yaksha,Yaksha,Yaksha,walker,Frozen Fortress,1,0,3,1,1,1,"When Yaksha is eliminated, the Survivor who eliminated it receives a Vault Weapon.","Quando o Yaksha é eliminado, o Sobrevivente que o eliminou recebe uma Arma de Cripta.",
onryō,Onryō,Onryō,runner,Frozen Fortress,2,0,1,1,1,1,Onryō always targets the Survivor with the most AP.,Onryō sempre tem como alvo o Sobrevivente com mais PA.,
meng_huo,Meng Huo,Meng Huo,brute,Frozen Fortress,1,0,1,1,2,1,"When Meng Huo would be eliminated, place him in the first Spawn Zone instead.","Quando Meng Huo for ser eliminado, coloque-o na primeira Zona de Entrada em vez disso.",
zhu_bajie,Zhu Bajie,Zhu Bajie,brute,Frozen Fortress,1,0,1,1,2,1,"Zhu Bajie cannot perform Move Actions. At the beginning of each Zombies phase, all other Zombies in his Zone gain 1 extra Activation.","Zhu Bajie não pode realizar Ações de Movimento. No início de cada Fase dos Zumbis, todos os outros Zumbis em sua Zona ganham 1 Ativação extra.",
bomoh,Bomoh,Bomoh,necromancer,Frozen Fortress,1,0,1,1,1,1,Roll a die after eliminating the Bomoh (rewards are still earned): 1-3: Nothing happens. 4-6: The Bomoh respawns immediately on the Starting Spawn Zone.,Role um dado após eliminar o Bomoh (as recompensas ainda são ganhas): 1-3: Nada acontece. 4-6: O Bomoh ressurge imediatamente na Zona de Entrada Inicial.,https://static.wikia.nocookie.net/zombicide/images/9/93/Bomoh_FR.png
death_notes,Death Notes,Death Notes,necromancer,Frozen Fortress,1,0,1,1,1,1,"Death Notes produce 3 Noise tokens at the start of each Game Round. As long as there is a least 1 Noise token in Death Notes' Zone, each hit rolled while attacking Zombies in this Zone (including Death Notes themselves) is cancelled, removing 1 Noise token from this Zone instead (even if it was not produced by Death Notes in the first place). Game effects killing all Zombies in the target Zone (Cauldron or Dragon Fire) are not affected by this rule.","Os Death Notes produzem 3 fichas de Barulho no início de cada Rodada. Enquanto houver pelo menos 1 ficha de Barulho na Zona dos Death Notes, cada acerto rolado ao atacar Zumbis nesta Zona (incluindo os próprios Death Notes) é cancelado, removendo 1 ficha de Barulho desta Zona no lugar (mesmo que não tenha sido produzida pelos Death Notes originalmente). Efeitos de jogo que eliminam todos os Zumbis na Zona alvo (Caldeirão ou Fogo de Dragão) não são afetados por esta regra.",https://static.wikia.nocookie.net/zombicide/images/c/c6/DeathNotes_FR.png
hannya,Hannya,Hannya,necromancer,Frozen Fortress,1,0,1,1,1,1,"Each miss rolled while attacking Zombies in Hannya's Zone (including Hannya itself) inflicts 1 Wound to the Survivor performing the attack. This rule applies for Combat Actions (Magic, Melee, or Ranged) and Siege Actions (Green Horde). Armor rolls are allowed.","Cada erro rolado ao atacar Zumbis na Zona de Hannya (incluindo o próprio Hannya) inflige 1 Ferimento ao Sobrevivente que realizou o ataque. Esta regra se aplica a Ações de Combate (Magia, Corpo a Corpo ou Longo Alcance) e Ações de Cerco (Green Horde). Rolagens de Armadura são permitidas.",https://static.wikia.nocookie.net/zombicide/images/e/e4/Hannya_FR.png
kaguya,Kaguya,Kaguya,necromancer,Frozen Fortress,1,0,1,1,1,1,"Each time Kaguya activates, Spawn 1 Walker in each Corruption Zone with 1 or more Survivor.","Cada vez que Kaguya é ativada, coloque 1 Lerdo em cada Zona de Corrupção que contenha 1 ou mais Sobreviventes.",https://static.wikia.nocookie.net/zombicide/images/c/c0/Kaguya_FR.png
tengu,Tengu,Tengu,necromancer,Frozen Fortress,2,0,1,1,1,1,"The Survivor eliminating Tengu earns the usual 1 AP for eliminating a Necromancer, then earn enough AP to get to the first notch of the next Danger Level.","O Sobrevivente que eliminar Tengu ganha os Pontos de Adrenalina usuais (1) por eliminar um Necromante, e então ganha PA o suficiente para chegar ao primeiro marco do próximo Nível de Perigo.",https://static.wikia.nocookie.net/zombicide/images/c/c3/Tengu_FR.png
yuki_onna,Yuki-onna,Yuki-onna,necromancer,Frozen Fortress,1,0,1,1,1,1,"At the start of each Game Round, each Survivor having a Line of Sight on the Yuki-Onna gets 1 Freeze token on their Dashboard, representing the Necromancer's icy hold over them. A Survivor with a Freeze token loses 1 Action at the start of their ensuing Turn. Then, discard the Freeze token.","No início de cada Rodada, cada Sobrevivente que tiver Linha de Visão para a Yuki-onna recebe 1 ficha de Congelamento em sua Ficha de Sobrevivente, representando o domínio gélido do Necromante sobre eles. Um Sobrevivente com uma ficha de Congelamento perde 1 Ação no início do seu Turno subsequente. Em seguida, descarte a ficha de Congelamento.",https://static.wikia.nocookie.net/zombicide/images/f/fc/Yuki-onna_FR.png
amaterasu,Amaterasu,Amaterasu,abomination,Frozen Fortress,1,0,1,1,3,5,"Amaterasu can only spawn once per game. As long as she is on the board, the maximum Range of all weapons is limited to 1. When Amaterasu is eliminated, set her miniature near the board as a trophy. The maximum Range of all Combat Spells and Ranged weapons gets +1 until the end of the game.","Amaterasu só pode entrar no tabuleiro uma vez por jogo. Enquanto ela estiver no tabuleiro, o Alcance máximo de todas as armas é limitado a 1. Quando Amaterasu for eliminada, coloque sua miniatura perto do tabuleiro como um troféu. O Alcance máximo de todos os Feitiços de Combate e armas de Longo Alcance ganha +1 até o final do jogo.",
asura,Asura,Asura,abomination,Frozen Fortress,1,0,1,1,?,5,Roll a die whenever an Asura spawns. The result is the minimum Damage required to eliminate it.,Role um dado sempre que um Asura entrar no tabuleiro. O resultado é o Dano mínimo necessário para eliminá-lo.,
